min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.1623201770740168,23.87545549715896,1.0227666275002356
2,,euclidean,leaf,0.015903605642587092,10.390415508161723,1.034779639526242
2,,manhattan,eom,0.19400922919122807,27.643934010460573,1.0300039404912207
2,,manhattan,leaf,0.017639391818099617,10.765632322418323,1.036497094708774
2,5.0,euclidean,eom,0.5783036730565294,6445.917773826716,1.081374825282635
2,5.0,euclidean,leaf,-0.4251913377867313,8.103937808160467,1.0492391484611818
2,5.0,manhattan,eom,0.6739765842291319,23241.91770742563,1.5887083848517933
2,5.0,manhattan,leaf,-0.43189023536986676,8.232367766830263,1.0391753601760596
2,10.0,euclidean,eom,0.7531556605438949,32657.501320664527,2.122023784130554
2,10.0,euclidean,leaf,-0.6508819646894157,8.84486627277968,1.0601953033774636
2,10.0,manhattan,eom,0.7527507965232924,32743.066334137533,0.7605460132959301
2,10.0,manhattan,leaf,-0.644449027293402,8.13378346277548,1.0492340581240214
5,,euclidean,eom,0.7574565972217789,32635.68323673676,2.9558915656311333
5,,euclidean,leaf,-0.40539091332901545,15.678674236048192,1.0478671721715758
5,,manhattan,eom,0.7564355318907167,31176.956429768874,1.4551561284167287
5,,manhattan,leaf,-0.4206702329594461,15.349641065247534,1.0606012751444334
5,5.0,euclidean,eom,0.7574565972217789,32635.68323673676,2.9558915656311333
5,5.0,euclidean,leaf,-0.40539091332901545,15.678674236048192,1.0478671721715758
5,5.0,manhattan,eom,0.7564355318907167,31176.956429768874,1.4551561284167287
5,5.0,manhattan,leaf,-0.4206702329594461,15.349641065247534,1.0606012751444334
5,10.0,euclidean,eom,0.7594184402984938,39209.38495256257,1.8024151992797675
5,10.0,euclidean,leaf,-0.49824082511463136,27.882286753791256,1.049045487100288
5,10.0,manhattan,eom,0.7527507965232924,32743.066334137533,0.7605460132959301
5,10.0,manhattan,leaf,-0.47899534074218775,26.46163188400295,1.063422984629144
10,,euclidean,eom,0.8375088807574591,47839.497517844975,0.2279056915946751
10,,euclidean,leaf,-0.3713059032917011,50.88434375749003,1.0693996536523431
10,,manhattan,eom,0.7527507965232924,32743.066334137533,0.7605460132959301
10,,manhattan,leaf,-0.40356364107232745,40.058326159538176,1.0643363682759146
10,5.0,euclidean,eom,0.7593633130397758,39120.223314099596,6.241849203035113
10,5.0,euclidean,leaf,-0.38891067161704757,33.74008727959462,1.0932912672636532
10,5.0,manhattan,eom,0.758858793088091,37370.176211979364,1.5689240026509899
10,5.0,manhattan,leaf,-0.4291785797167988,30.68213837148702,1.0566768626580358
10,10.0,euclidean,eom,0.8375088807574591,47839.497517844975,0.2279056915946751
10,10.0,euclidean,leaf,-0.3713059032917011,50.88434375749003,1.0693996536523431
10,10.0,manhattan,eom,0.7527507965232924,32743.066334137533,0.7605460132959301
10,10.0,manhattan,leaf,-0.40356364107232745,40.058326159538176,1.0643363682759146
