min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.08009389119853924,9.825666750765768,2.0099836403694935
2,,euclidean,leaf,0.028339143250053014,6.867288819367201,1.866878731209889
2,,manhattan,eom,0.08608985371189405,10.614398555585494,1.9035584535366035
2,,manhattan,leaf,0.038860758125359565,7.994027087666935,1.8206009005666066
2,5.0,euclidean,eom,-0.14070958803048955,5.4345347088287985,3.8175807131375747
2,5.0,euclidean,leaf,-0.362992640726971,4.566858575891378,2.6590011484199993
2,5.0,manhattan,eom,0.19570041235813007,4.610689559627164,7.757842145490055
2,5.0,manhattan,leaf,-0.3891475613497379,4.62159737134677,2.466084663698768
2,10.0,euclidean,eom,-0.01672368255351897,1.5484865480216434,74.33068861686753
2,10.0,euclidean,leaf,-0.5429289411095831,3.60485047745106,2.3082717678555165
2,10.0,manhattan,eom,-0.45943411318202987,2.5330575202641894,11.819567848211076
2,10.0,manhattan,leaf,-0.5588775191857728,3.865273663692415,2.4377427517692367
5,,euclidean,eom,-0.022349214525346876,8.792508177372197,18.120466343690403
5,,euclidean,leaf,-0.3159982508492592,8.57890520595655,2.0840179513002135
5,,manhattan,eom,-0.019583450115233873,12.483946327353747,10.534093661480645
5,,manhattan,leaf,-0.34372500212746493,9.306836789226876,1.757929913605501
5,5.0,euclidean,eom,-0.022349214525346876,8.792508177372197,18.120466343690403
5,5.0,euclidean,leaf,-0.3159982508492592,8.57890520595655,2.0840179513002135
5,5.0,manhattan,eom,-0.019583450115233873,12.483946327353747,10.534093661480645
5,5.0,manhattan,leaf,-0.34372500212746493,9.306836789226876,1.757929913605501
5,10.0,euclidean,eom,-0.10085823094469923,5.095278619126308,23.754828089755097
5,10.0,euclidean,leaf,-0.4754641332019016,7.434931700206222,3.0667529997999945
5,10.0,manhattan,eom,-0.466377119935141,6.68181802145347,11.279671465861194
5,10.0,manhattan,leaf,-0.5067477986779305,6.325779359626662,3.441808213226015
10,,euclidean,eom,-0.16434641691134713,5.780477976050148,20.38633680503465
10,,euclidean,leaf,-0.4580897942605812,7.8877892337822475,2.163778744587998
10,,manhattan,eom,-0.4386440669102911,7.4138776127066945,14.81647929540463
10,,manhattan,leaf,-0.47250461768881624,7.259169632133273,2.6133251349826288
10,5.0,euclidean,eom,-0.32665046784762,18.42377353150865,2.6767716114321707
10,5.0,euclidean,leaf,-0.38801247630431157,10.63072804860171,2.1752909880974136
10,5.0,manhattan,eom,-0.3237707414370094,24.455301955554212,2.045689210110384
10,5.0,manhattan,leaf,-0.3251559765504547,13.692582348679268,1.9476150022183938
10,10.0,euclidean,eom,-0.16434641691134713,5.780477976050148,20.38633680503465
10,10.0,euclidean,leaf,-0.4580897942605812,7.8877892337822475,2.163778744587998
10,10.0,manhattan,eom,-0.4386440669102911,7.4138776127066945,14.81647929540463
10,10.0,manhattan,leaf,-0.47250461768881624,7.259169632133273,2.6133251349826288
