min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.0013442973442779936,5.797852185441633,5.882022552277643
2,,euclidean,leaf,0.09073800473784156,6.110979300611709,1.3641978389038298
2,,manhattan,eom,0.0013442973442779936,5.797852185441633,5.882022552277643
2,,manhattan,leaf,0.08081766334070425,6.773325993553094,1.2350187181436263
2,5.0,euclidean,eom,-0.45390592586647177,3.8481543857852913,2.82573163576507
2,5.0,euclidean,leaf,-0.4668663951654604,1.7003823402644422,1.726681491136264
2,5.0,manhattan,eom,-0.05110722171814023,17.265414155188164,1.7758353313606583
2,5.0,manhattan,leaf,-0.21192088911649373,9.976324307174696,1.7516801974098533
2,10.0,euclidean,eom,-0.0643792694109865,8.383095925133455,7.019250627909923
2,10.0,euclidean,leaf,-0.0643792694109865,8.383095925133455,7.019250627909923
2,10.0,manhattan,eom,-0.2808097460545744,4.375829678197552,1.9435597275103371
2,10.0,manhattan,leaf,-0.3083074766668231,3.4095614428318166,2.014647166954696
5,,euclidean,eom,-0.0033442578412355073,4.07636688376967,9.872711879507436
5,,euclidean,leaf,-0.0033442578412355073,4.07636688376967,9.872711879507436
5,,manhattan,eom,0.010765541817268347,22.29836218662939,1.9841265424096495
5,,manhattan,leaf,0.03559276205613662,20.16512369843472,1.8050718955487062
5,5.0,euclidean,eom,-0.0033442578412355073,4.07636688376967,9.872711879507436
5,5.0,euclidean,leaf,-0.0033442578412355073,4.07636688376967,9.872711879507436
5,5.0,manhattan,eom,0.010765541817268347,22.29836218662939,1.9841265424096495
5,5.0,manhattan,leaf,0.03559276205613662,20.16512369843472,1.8050718955487062
5,10.0,euclidean,eom,-0.0643792694109865,8.383095925133455,7.019250627909923
5,10.0,euclidean,leaf,-0.0643792694109865,8.383095925133455,7.019250627909923
5,10.0,manhattan,eom,-0.18081226354884594,8.144388287755024,2.88074013516096
5,10.0,manhattan,leaf,-0.24305379133860475,6.262081947570131,2.6013292374250807
10,,euclidean,eom,-0.0643792694109865,8.383095925133455,7.019250627909923
10,,euclidean,leaf,-0.0643792694109865,8.383095925133455,7.019250627909923
10,,manhattan,eom,-0.09171203393250295,9.041815530463397,4.318682367857294
10,,manhattan,leaf,-0.09171203393250295,9.041815530463397,4.318682367857294
10,5.0,euclidean,eom,-0.0033442578412355073,4.07636688376967,9.872711879507436
10,5.0,euclidean,leaf,-0.0033442578412355073,4.07636688376967,9.872711879507436
10,5.0,manhattan,eom,-0.027166506054822317,24.009047758859282,2.2401914601330204
10,5.0,manhattan,leaf,0.007720353680238393,20.497353438431794,2.0793080045823946
10,10.0,euclidean,eom,-0.0643792694109865,8.383095925133455,7.019250627909923
10,10.0,euclidean,leaf,-0.0643792694109865,8.383095925133455,7.019250627909923
10,10.0,manhattan,eom,-0.09171203393250295,9.041815530463397,4.318682367857294
10,10.0,manhattan,leaf,-0.09171203393250295,9.041815530463397,4.318682367857294
