min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.19791333270646186,70.1563909646493,1.8073112527282018
2,,euclidean,leaf,-0.030808100453575654,8.72286438345698,1.4785556108368367
2,,manhattan,eom,0.19175046899169496,64.2246894646867,2.035200040158522
2,,manhattan,leaf,-0.023633612405242387,10.62471729105811,1.5908623003808877
2,5.0,euclidean,eom,0.827318029628156,4744.317258706483,0.21762412827577818
2,5.0,euclidean,leaf,-0.3796609377146832,8.647647885784322,1.5145899408445993
2,5.0,manhattan,eom,0.827318029628156,4744.317258706483,0.21762412827577818
2,5.0,manhattan,leaf,-0.4068437717277901,11.363166598180927,1.596674811861768
2,10.0,euclidean,eom,0.827318029628156,4744.317258706481,0.21762412827577818
2,10.0,euclidean,leaf,-0.4887950234913383,33.13698242929601,1.438051631073533
2,10.0,manhattan,eom,0.827318029628156,4744.317258706481,0.21762412827577818
2,10.0,manhattan,leaf,-0.44910025038955714,32.79332387989867,1.4170213021755367
5,,euclidean,eom,0.827318029628156,4744.317258706483,0.21762412827577818
5,,euclidean,leaf,-0.33177338460513894,22.980134254196997,1.3905924777920242
5,,manhattan,eom,0.827318029628156,4744.317258706483,0.21762412827577818
5,,manhattan,leaf,-0.30047389622524734,29.665743238625826,1.427760651026136
5,5.0,euclidean,eom,0.827318029628156,4744.317258706483,0.21762412827577818
5,5.0,euclidean,leaf,-0.33177338460513894,22.980134254196997,1.3905924777920242
5,5.0,manhattan,eom,0.827318029628156,4744.317258706483,0.21762412827577818
5,5.0,manhattan,leaf,-0.30047389622524734,29.665743238625826,1.427760651026136
5,10.0,euclidean,eom,0.827318029628156,4744.317258706481,0.21762412827577818
5,10.0,euclidean,leaf,-0.3749568812330362,73.70213864297811,1.2258017702253328
5,10.0,manhattan,eom,0.827318029628156,4744.317258706481,0.21762412827577818
5,10.0,manhattan,leaf,-0.39126362618079275,70.42487569217099,1.3054163773238256
10,,euclidean,eom,0.827318029628156,4744.317258706481,0.21762412827577818
10,,euclidean,leaf,-0.25957218182938685,147.1943785610552,1.329585213383545
10,,manhattan,eom,0.827318029628156,4744.317258706481,0.21762412827577818
10,,manhattan,leaf,-0.24041880640186586,136.9132286869941,1.4298721996150894
10,5.0,euclidean,eom,0.827318029628156,4744.317258706483,0.21762412827577818
10,5.0,euclidean,leaf,-0.1473838979491068,198.91012848040359,1.3541341100124455
10,5.0,manhattan,eom,0.827318029628156,4744.317258706483,0.21762412827577818
10,5.0,manhattan,leaf,-0.1705693466588373,183.74691949656358,1.5478336564540949
10,10.0,euclidean,eom,0.827318029628156,4744.317258706481,0.21762412827577818
10,10.0,euclidean,leaf,-0.25957218182938685,147.1943785610552,1.329585213383545
10,10.0,manhattan,eom,0.827318029628156,4744.317258706481,0.21762412827577818
10,10.0,manhattan,leaf,-0.24041880640186586,136.9132286869941,1.4298721996150894
