min_cluster_size,min_samples,metric,cluster_selection_method,silhouette,calinski_harabasz,davies_bouldin
2,,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
2,,euclidean,leaf,-0.017979565768027967,13.784208339681154,3.1684731939728534
2,,manhattan,eom,0.48658488269366096,29.3074112087972,1.3997830366502486
2,,manhattan,leaf,-0.07159306480707833,12.559375681012154,3.0546719685364687
2,5.0,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
2,5.0,euclidean,leaf,-0.46014769229196273,7.014557321854029,4.928463319200995
2,5.0,manhattan,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
2,5.0,manhattan,leaf,-0.4759208626307214,7.602433581427594,4.308984144897344
2,10.0,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
2,10.0,euclidean,leaf,-0.41142843029885684,28.425031461817913,4.111233524095208
2,10.0,manhattan,eom,0.38415485235171815,46.36785654776311,2.887262376089076
2,10.0,manhattan,leaf,-0.5441411980332803,15.558649302296024,2.1364596001722616
5,,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
5,,euclidean,leaf,-0.37114511484562124,26.683930382629782,2.7405455372339227
5,,manhattan,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
5,,manhattan,leaf,-0.30992964653368826,36.89103985319649,3.377621419141339
5,5.0,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
5,5.0,euclidean,leaf,-0.37114511484562124,26.683930382629782,2.7405455372339227
5,5.0,manhattan,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
5,5.0,manhattan,leaf,-0.30992964653368826,36.89103985319649,3.377621419141339
5,10.0,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
5,10.0,euclidean,leaf,-0.3313598905014822,53.64165098585522,3.808639484724431
5,10.0,manhattan,eom,0.4061066339861112,62.3437906623538,3.404661211208932
5,10.0,manhattan,leaf,-0.37749242203383315,46.07010665107423,3.9036055738337745
10,,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
10,,euclidean,leaf,-0.3228772166980364,60.8684757387471,6.036978529399873
10,,manhattan,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
10,,manhattan,leaf,0.4180365273312988,72.26582971421986,3.7707826270193237
10,5.0,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
10,5.0,euclidean,leaf,-0.15702356426455308,82.14510876639697,3.1762825358700733
10,5.0,manhattan,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
10,5.0,manhattan,leaf,-0.16775784640565614,76.3730836354937,3.840536534212992
10,10.0,euclidean,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
10,10.0,euclidean,leaf,-0.3228772166980364,60.8684757387471,6.036978529399873
10,10.0,manhattan,eom,0.31149297508558416,1.1598306291636347,20.197976342030067
10,10.0,manhattan,leaf,0.4180365273312988,72.26582971421986,3.7707826270193237
