dataset,metric_eval,min_cluster_size,min_samples,metric,cluster_selection_method,score
2d-10c,silhouette,10,,euclidean,eom,0.8375088807574591
2d-10c,calinski_harabasz,10,,euclidean,eom,47839.497517844975
2d-10c,davies_bouldin,10,,euclidean,eom,0.2279056915946751
2d-20c-no0,silhouette,10,5.0,euclidean,eom,0.6488443150536883
2d-20c-no0,calinski_harabasz,10,5.0,euclidean,eom,2698.640528290258
2d-20c-no0,davies_bouldin,2,,manhattan,eom,1.2212647693296674
2d-3c-no123,silhouette,10,5.0,manhattan,eom,0.3968939201724228
2d-3c-no123,calinski_harabasz,10,5.0,manhattan,eom,337.17345723999523
2d-3c-no123,davies_bouldin,2,10.0,euclidean,leaf,1.2985163118950085
2d-4c-no4,silhouette,5,,euclidean,eom,0.5962017376995038
2d-4c-no4,calinski_harabasz,2,5.0,manhattan,eom,906.1224416211996
2d-4c-no4,davies_bouldin,10,5.0,manhattan,leaf,1.1105893128344633
2d-4c-no9,silhouette,2,10.0,euclidean,eom,0.5681263062210377
2d-4c-no9,calinski_harabasz,10,5.0,manhattan,eom,1587.4669228854132
2d-4c-no9,davies_bouldin,5,,manhattan,leaf,1.337021526864672
2d-4c,silhouette,2,5.0,euclidean,eom,0.8670311065845322
2d-4c,calinski_harabasz,2,5.0,euclidean,eom,36113.11601994804
2d-4c,davies_bouldin,2,5.0,euclidean,eom,0.1655901866537165
2dnormals,silhouette,2,5.0,manhattan,eom,0.19570041235813
2dnormals,calinski_harabasz,10,5.0,manhattan,eom,24.45530195555421
2dnormals,davies_bouldin,5,,manhattan,leaf,1.757929913605501
2sp2glob,silhouette,2,10.0,euclidean,eom,0.3897126473647895
2sp2glob,calinski_harabasz,2,10.0,euclidean,eom,8075.630914020664
2sp2glob,davies_bouldin,2,,manhattan,eom,1.1518880884379947
3-spiral,silhouette,2,,euclidean,leaf,0.0907380047378415
3-spiral,calinski_harabasz,10,5.0,manhattan,eom,24.00904775885928
3-spiral,davies_bouldin,2,,manhattan,leaf,1.2350187181436263
aggregation,silhouette,2,,euclidean,eom,0.41200517821831
aggregation,calinski_harabasz,2,,euclidean,eom,754.2001889141025
aggregation,davies_bouldin,2,,euclidean,eom,0.6249484871828519
aml28,silhouette,2,5.0,euclidean,eom,0.827318029628156
aml28,calinski_harabasz,2,5.0,euclidean,eom,4744.317258706483
aml28,davies_bouldin,2,5.0,euclidean,eom,0.2176241282757781
atom,silhouette,2,,manhattan,eom,0.4865848826936609
atom,calinski_harabasz,10,5.0,euclidean,leaf,82.14510876639697
atom,davies_bouldin,2,,manhattan,eom,1.3997830366502486
banana,silhouette,2,5.0,euclidean,eom,0.3673310959079308
banana,calinski_harabasz,2,5.0,euclidean,eom,3751.7304672665023
banana,davies_bouldin,2,5.0,euclidean,eom,1.0988998676613282
cluto-t5-8k,silhouette,10,,euclidean,eom,0.3058843800504177
cluto-t5-8k,calinski_harabasz,10,,euclidean,eom,8938.90914144067
cluto-t5-8k,davies_bouldin,2,5.0,euclidean,eom,1.4126238589552358
cluto-t5-8k,silhouette,10,,euclidean,eom,0.3058843800504177
cluto-t5-8k,calinski_harabasz,10,,euclidean,eom,8938.90914144067
cluto-t5-8k,davies_bouldin,2,5.0,euclidean,eom,1.4126238589552358
cluto-t5-8k,silhouette,10,,euclidean,eom,0.3058843800504177
cluto-t5-8k,calinski_harabasz,10,,euclidean,eom,8938.90914144067
cluto-t5-8k,davies_bouldin,2,5.0,euclidean,eom,1.4126238589552358
