epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2527,0.87742,4.06827,1.00167,0.35904,1,0.69555,0.46894,0.78132,3.30867,1.083,0.000154,0.000154,0.000154
2,28.3597,0.79238,1.90477,0.989,1,0.98423,0.99493,0.89096,0.47891,1.31487,0.90352,0.000281713,0.000281713,0.000281713
3,32.8842,0.7232,1.43255,0.94354,1,0.99689,0.995,0.91879,0.39878,1.03195,0.87042,0.000378009,0.000378009,0.000378009
4,37.6544,0.70571,1.33528,0.93315,0.99905,1,0.995,0.90899,0.38295,0.46157,0.84855,0.000334628,0.000334628,0.000334628
5,42.0643,0.68411,1.21674,0.92744,0.99877,1,0.995,0.90611,0.37729,0.47946,0.84489,0.000287504,0.000287504,0.000287504
6,46.515,0.66633,1.15744,0.92261,0.99958,1,0.995,0.9289,0.32871,0.32285,0.83323,0.00024038,0.00024038,0.00024038
7,51.0457,0.63036,1.1165,0.91981,0.99958,1,0.995,0.91053,0.38801,0.33243,0.85603,0.000193256,0.000193256,0.000193256
8,55.4673,0.60167,1.04638,0.90221,0.99953,1,0.995,0.91659,0.38347,0.33241,0.85271,0.000146132,0.000146132,0.000146132
9,59.8559,0.58903,1.00618,0.89791,0.99953,1,0.995,0.93521,0.33479,0.29024,0.83447,9.9008e-05,9.9008e-05,9.9008e-05
10,64.3559,0.55344,0.99733,0.88564,0.99947,1,0.995,0.93014,0.3486,0.29683,0.84295,5.1884e-05,5.1884e-05,5.1884e-05
